X,Y,osm_id,name,place type,category,text_des
31.4029127,31.0531765,4809625722,الزهراء اللغات,school,Education,"تقع الزهراء اللغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
32.5583775,25.2916299,4812390121,مست إسنا المركزي,hospital,Health,"تقع مست إسنا المركزي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap."
31.3331087,30.0447659,4822481526,سنتر ميراج,school,Education,"تقع سنتر ميراج في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap."
32.878682,24.9796725,4826153923,محمد يونس,clinic,Health,"تقع محمد يونس في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9038398,24.0867279,4826153925,اسامه زكريا,clinic,Health,"تقع اسامه زكريا في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8767068,24.9793491,4826162321,حمدى كعوان,clinic,Health,"تقع حمدى كعوان في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8795012,24.9797105,4826162322,حمزة سعد,clinic,Health,"تقع حمزة سعد في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8805344,24.9823432,4826162323,عبد الاله العونى,clinic,Health,"تقع عبد الاله العونى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8817735,24.9831197,4826162324,عمرو بكرى,clinic,Health,"تقع عمرو بكرى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8611272,24.9377155,4826164222,هانى جرجس,clinic,Health,"تقع هانى جرجس في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9050353,24.0865218,4826164224,ادهم بدوى,clinic,Health,"تقع ادهم بدوى في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9067892,24.101074,4826164225,يحى ابراهيم صدر,clinic,Health,"تقع يحى ابراهيم صدر في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9092525,24.093629,4826172921,محمد حسن صدر,clinic,Health,"تقع محمد حسن صدر في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9077925,24.0940853,4826172922,فوزى عباس نسا,clinic,Health,"تقع فوزى عباس نسا في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9018307,24.0933572,4826173721,عبد الحميد حامد نسا,clinic,Health,"تقع عبد الحميد حامد نسا في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.9092453,24.0859508,4826173722,نادية محمود نسا,clinic,Health,"تقع نادية محمود نسا في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.946232,24.4741604,4826177721,علاء عبد الوهاب,clinic,Health,"تقع علاء عبد الوهاب في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
32.8814104,24.9827634,4826178921,ربيع حسين,clinic,Health,"تقع ربيع حسين في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap."
